Date,Store_Number,Store_Name,Address,City,Zip_Code,County_Number,County,Category,Category_Name,Vendor_Number,Vendor_Name,Item_Number,Item_Description,Pack,Bottle_Volume_(ml),State_Bottle_Cost,State_Bottle_Retail,Bottles_Sold,Sale_(Dollars),Volume_Sold_(Liters),Volume_Sold_(Gallons)
09/29/2015,5176,Smokin' Joe's #15 Tobacco & Liquor O,"455, EDGEWOOD RD NW",CEDAR RAPIDS,52405,57.0,Linn,1011300.0,TENNESSEE WHISKIES,85.0,Brown-Forman Corporation,86692,Jack Daniel's Tennessee Fire,12,750,15.07,22.61,2,45.22,1.5,0.4
05/03/2017,5068,Tobacco Shop / Arnolds Park,612 S Highway 71,Arnolds Park,51331,30.0,DICKINSON,1081300.0,American Cordials & Liqueur,322.0,Prestige Wine & Spirits Group,75226,Kinky Red Liqueur,12,750,10.0,15.0,1,15.0,0.75,0.19
12/13/2016,5140,A to Z Liquor,"114, S  2nd  St",Cherokee,51012,18.0,CHEROKEE,1012200.0,Scotch Whiskies,370.0,PERNOD RICARD USA,4717,Chivas Regal 12 Yr,12,1000,24.99,37.49,4,37.49,4.0,1.05
12/27/2012,2512,Hy-Vee Wine and Spirits / Iowa City,1720 WATERFRONT DR,IOWA CITY,52240,52.0,Johnson,1032080.0,IMPORTED VODKA,65.0,Jim Beam Brands,34578,Pinnacle Vodka,6,1750,11.07,17.11,228,3901.08,399.0,105.4
01/12/2012,4426,LIQUOR AND GROCERY DEPOT,114 CENTRAL ST N Suite 1,MARSHALLTOWN,50158,64.0,Marshall,1031080.0,VODKA 80 PROOF,55.0,Sazerac North America,35318,Barton Vodka,6,1750,6.87,10.3,6,61.8,10.5,2.77
05/22/2012,3390,Okoboji Avenue Liquor,1610 OKOBOJI AVENUE,MILFORD,51351,30.0,Dickinson,1062310.0,SPICED RUM,259.0,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,11.55,17.32,12,207.84,21.0,5.55
01/12/2015,2647,Hy-Vee #7 / Cedar Rapids,5050 EDGEWOOD RD,CEDAR RAPIDS,52411,57.0,Linn,1062310.0,SPICED RUM,259.0,Heaven Hill Brands,43028,Admiral Nelson Spiced Rum,6,1750,11.55,17.33,12,207.96,21.0,5.55
12/08/2014,5001,The Music Station / Independence,709 FIRST ST W,INDEPENDENCE,50644,10.0,Buchanan,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,Jim Beam Brands,19226,Knob Creek,6,750,20.47,30.71,1,30.71,0.75,0.2
06/12/2014,4165,I-35 Spirits / Ankeny,113 SE DELAWARE AVE STE 101,ANKENY,50023,77.0,Polk,1081010.0,AMERICAN AMARETTO,434.0,Luxco-St Louis,76486,Paramount Amaretto,12,750,3.38,5.07,3,15.21,2.25,0.59
01/13/2017,2553,Hy-Vee Food Store / Creston,600 Sheldon,Creston,50801.0,88.0,UNION,1070000.0,Cocktails / RTD,55.0,SAZERAC NORTH AMERICA,57129,Chi-Chi's Mexican Mudslide,6,1750,6.5,9.75,1,55.5,1.75,0.46
09/26/2016,2560,Hy-Vee Food Store / Marion,3600 Business Hwy 151 East,Marion,52302,57.0,LINN,1031200.0,American Flavored Vodka,259.0,Heaven Hill Brands,40331,Deep Eddy Sweet Tea,12,750,9.0,13.5,4,13.5,3.0,0.79
02/09/2015,2190,"Central City Liquor, Inc.",1460 2ND AVE,DES MOINES,50314,77.0,Polk,1062200.0,PUERTO RICO & VIRGIN ISLANDS RUM,35.0,"Bacardi U.S.A., Inc.",43048,Bacardi Select Rum,6,1750,15.0,22.5,6,135.0,10.5,2.77
09/20/2012,2509,Hy-Vee / Drugtown #1 / Cedar Rapids,1520 6TH ST SW,CEDAR RAPIDS,52404,57.0,Linn,1051100.0,APRICOT BRANDIES,434.0,Luxco-St Louis,54448,Paramount Apricot Flavored Brandy,6,1750,11.28,16.93,6,101.58,10.5,2.77
03/04/2014,4230,Fareway Stores #106 / Clive,10151 UNIVERSITY AVE,CLIVE,50325,77.0,Polk,1031080.0,VODKA 80 PROOF,260.0,Diageo Americas,37996,Smirnoff Vodka 80 Prf,12,750,8.25,12.37,12,148.44,9.0,2.38
01/02/2014,2545,Hy-Vee Drugstore / Iowa City,310 N 1ST ST,IOWA CITY,52245,52.0,Johnson,1012100.0,CANADIAN WHISKIES,260.0,Diageo Americas,11293,Crown Royal Canadian Whisky,48,200,4.71,7.07,2,14.14,0.4,0.11
11/16/2016,3514,Karen's Spirits and Wine,328  2nd Ave S,Fort Dodge,50501,94.0,WEBSTER,1011200.0,Straight Bourbon Whiskies,65.0,Jim Beam Brands,19477,Maker's Mark,12,1000,22.04,33.06,1,396.72,1.0,0.26
07/19/2012,2637,Hy-Vee #5 / Davenport,2351 W LOCUST,DAVENPORT,52804,82.0,Scott,1082900.0,MISC. IMPORTED CORDIALS & LIQUEURS,259.0,Heaven Hill Brands,65195,Hpnotiq,6,750,11.91,17.52,6,105.12,4.5,1.19
03/11/2015,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 DEVILS GLEN ROAD,BETTENDORF,52722,82.0,Scott,1011100.0,BLENDED WHISKIES,306.0,Mississippi River Distilling Co.,27668,Farmer Brown Whiskey,12,375,9.09,13.64,24,327.36,9.0,2.38
04/23/2013,2625,Hy-Vee Wine and Spirits #2,3301 W KIMBERLY RD,DAVENPORT,52804,82.0,Scott,1012100.0,CANADIAN WHISKIES,115.0,"Constellation Wine Company, Inc.",11786,Black Velvet Traveler,12,750,4.83,7.44,6,44.64,4.5,1.19
